Celebrity,Home State,Catch Phrase
Norma Holmes,MI,Profound bi-directional toolset
Stephen Bradley,KS,Expanded non-volatile attitude
Donna Jones,TX,Intuitive asynchronous emulation
Brandon Taylor,UT,Innovative holistic knowledge base
Nancy Woods,CA,Multi-lateral next generation implementation
Irene Bishop,VT,Optional solution-oriented challenge
Aaron Cox,CA,Mandatory impactful budgetary management
Howard Warren,NC,Configurable radical Graphic Interface
Joyce Nguyen,TX,Ergonomic national complexity
Gary Ortiz,TX,Enterprise-wide background budgetary management
Linda Barnes,DC,Stand-alone uniform product
Wanda Morgan,CO,Secured radical conglomeration
Roy Hawkins,FL,Decentralized empowering model
Janice Hall,GA,Business-focused directional info-mediaries
Bruce Hughes,GA,Decentralized even-keeled access
Cheryl Gray,GA,Adaptive hybrid paradigm
Kathryn Ruiz,GA,Enterprise-wide heuristic application
Jeremy Kim,TX,Fully-configurable neutral hardware
Jack James,PA,Fully-configurable context-sensitive array
Nicholas Sanders,MO,Polarised client-driven parallelism
Phillip Flores,FL,Polarised background hub
Helen Wagner,NV,Innovative actuating knowledge base
Louise Price,TX,Proactive multi-tasking open system
Julie Hall,CA,Open-source grid-enabled complexity
Raymond Walker,CO,Exclusive heuristic matrices
Mildred Duncan,AR,Exclusive foreground leverage
Ruby Bryant,NV,Enhanced didactic extranet
Ronald Powell,NJ,Open-architected multi-tasking array
Kenneth Olson,TX,Assimilated web-enabled attitude
Steven Montgomery,SD,Switchable 3rd generation info-mediaries
Betty Washington,TN,Self-enabling system-worthy hub
Carol Jordan,KY,Seamless maximized task-force
Shawn Green,FL,Self-enabling high-level support
David Daniels,TX,Mandatory dedicated extranet
Aaron Olson,KY,De-engineered local knowledge user
Tina Nelson,UT,Polarised heuristic complexity
Ruth Harvey,PA,Customizable mission-critical superstructure
Gary West,FL,Managed methodical project
Gregory Austin,PA,Multi-tiered asynchronous standardization
Douglas Walker,TX,Face to face coherent attitude
Catherine Ramirez,DC,De-engineered static success
Bobby Perkins,DC,Compatible maximized definition
Keith Simpson,KY,Profound bifurcated solution
Eric Gordon,CA,Integrated didactic infrastructure
Lois Hughes,MD,Integrated systemic access
Earl Taylor,SC,Versatile user-facing synergy
Raymond Morgan,MN,Cloned well-modulated software
Dennis Rice,CA,Innovative user-facing policy
Paula Brooks,MN,Robust demand-driven internet solution
Ralph Lane,OH,Pre-emptive logistical standardization
